hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description
	0	Event	HedTag	suggestedTag=Task-property	Something that happens at a given time and (typically) place. Elements of this tag subtree designate the general category in which an event falls.
	1	Sensory-event	Event	suggestedTag=Task-event-role, suggestedTag=Sensory-presentation	Something perceivable by the participant. An event meant to be an experimental stimulus should include the tag Task-property/Task-event-role/Experimental-stimulus.
	1	Agent-action	Event	suggestedTag=Task-event-role, suggestedTag=Agent	Any action engaged in by an agent (see the Agent subtree for agent categories). A participant response to an experiment stimulus should include the tag Agent-property/Agent-task-role/Experiment-participant.
	1	Data-feature	Event	suggestedTag=Data-property	An event marking the occurrence of a data feature such as an interictal spike or alpha burst that is often added post hoc to the data record.
	1	Experiment-control	Event		An event pertaining to the physical control of the experiment during its operation.
	1	Experiment-procedure	Event		An event indicating an experimental procedure, as in performing a saliva swab during the experiment or administering a survey.
	1	Experiment-structure	Event		An event specifying a change-point of the structure of experiment. This event is typically used to indicate a change in experimental conditions or tasks.
	1	Measurement-event	Event	suggestedTag=Data-property	A discrete measure returned by an instrument.
	0	Agent	HedTag	suggestedTag=Agent-property	Someone or something that takes an active role or produces a specified effect.The role or effect may be implicit. Being alive or performing an activity such as a computation may qualify something to be an agent. An agent may also be something that simulates something else.
	1	Animal-agent	Agent		An agent that is an animal.
	1	Avatar-agent	Agent		An agent associated with an icon or avatar representing another agent.
	1	Controller-agent	Agent		An agent experiment control software or hardware.
	1	Human-agent	Agent		A person who takes an active role or produces a specified effect.
	1	Robotic-agent	Agent		An agent mechanical device capable of performing a variety of often complex tasks on command or by being programmed in advance.
	1	Software-agent	Agent		An agent computer program.
	0	Action	HedTag	extensionAllowed	Do something.
	1	Communicate	Action		Convey knowledge of or information about something.
	2	Communicate-gesturally	Communicate	relatedTag=Move-face, relatedTag=Move-upper-extremity	Communicate nonverbally using visible bodily actions, either in place of speech or together and in parallel with spoken words. Gestures include movement of the hands, face, or other parts of the body.
	3	Clap-hands	Communicate-gesturally		Strike the palms of against one another resoundingly, and usually repeatedly, especially to express approval.
	3	Clear-throat	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-head	Cough slightly so as to speak more clearly, attract attention, or to express hesitancy before saying something awkward.
	3	Frown	Communicate-gesturally	relatedTag=Move-face	Express disapproval, displeasure, or concentration, typically by turning down the corners of the mouth.
	3	Grimace	Communicate-gesturally	relatedTag=Move-face	Make a twisted expression, typically expressing disgust, pain, or wry amusement.
	3	Nod-head	Communicate-gesturally	relatedTag=Move-head	Tilt head in alternating up and down arcs along the sagittal plane. It is most commonly, but not universally, used to indicate agreement, acceptance, or acknowledgement.
	3	Pump-fist	Communicate-gesturally	relatedTag=Move-upper-extremity	Raise with fist clenched in triumph or affirmation.
	3	Raise-eyebrows	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes	Move eyebrows upward.
	3	Shake-fist	Communicate-gesturally	relatedTag=Move-upper-extremity	Clench hand into a fist and shake to demonstrate anger.
	3	Shake-head	Communicate-gesturally	relatedTag=Move-head	Turn head from side to side as a way of showing disagreement or refusal.
	3	Shhh	Communicate-gesturally	relatedTag=Move-upper-extremity	Place finger over lips and possibly uttering the syllable shhh to indicate the need to be quiet.
	3	Shrug	Communicate-gesturally	relatedTag=Move-upper-extremity, relatedTag=Move-torso	Lift shoulders up towards head to indicate a lack of knowledge about a particular topic.
	3	Smile	Communicate-gesturally	relatedTag=Move-face	Form facial features into a pleased, kind, or amused expression, typically with the corners of the mouth turned up and the front teeth exposed.
	3	Spread-hands	Communicate-gesturally	relatedTag=Move-upper-extremity	Spread hands apart to indicate ignorance.
	3	Thumb-up	Communicate-gesturally	relatedTag=Move-upper-extremity	Extend the thumb upward to indicate approval.
	3	Thumbs-down	Communicate-gesturally	relatedTag=Move-upper-extremity	Extend the thumb downward to indicate disapproval.
	3	Wave	Communicate-gesturally	relatedTag=Move-upper-extremity	Raise hand and move left and right, as a greeting or sign of departure.
	3	Widen-eyes	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes	Open eyes and possibly with eyebrows lifted especially to express surprise or fear.
	3	Wink	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes	Close and open one eye quickly, typically to indicate that something is a joke or a secret or as a signal of affection or greeting.
	2	Communicate-musically	Communicate		Communicate using music.
	3	Hum	Communicate-musically		Make a low, steady continuous sound like that of a bee. Sing with the lips closed and without uttering speech.
	3	Play-instrument	Communicate-musically		Make musical sounds using an instrument.
	3	Sing	Communicate-musically		Produce musical tones by means of the voice.
	3	Vocalize	Communicate-musically		Utter vocal sounds.
	3	Whistle	Communicate-musically		Produce a shrill clear sound by forcing breath out or air in through the puckered lips.
	2	Communicate-vocally	Communicate		Communicate using mouth or vocal cords.
	3	Cry	Communicate-vocally		Shed tears associated with emotions, usually sadness but also joy or frustration.
	3	Groan	Communicate-vocally		Make a deep inarticulate sound in response to pain or despair.
	3	Laugh	Communicate-vocally		Make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of contempt or derision.
	3	Scream	Communicate-vocally		Make loud, vociferous cries or yells to express pain, excitement, or fear.
	3	Shout	Communicate-vocally		Say something very loudly.
	3	Sigh	Communicate-vocally		Emit a long, deep, audible breath expressing sadness, relief, tiredness, or a similar feeling.
	3	Speak	Communicate-vocally		Communicate using spoken language.
	3	Whisper	Communicate-vocally		Speak very softly using breath without vocal cords.
	1	Move	Action		Move in a specified direction or manner. Change position or posture.
	2	Breathe	Move		Inhale or exhale during respiration.
	3	Blow	Breathe		Expel air through pursed lips.
	3	Cough	Breathe		Suddenly and audibly expel air from the lungs through a partially closed glottis, preceded by inhalation.
	3	Exhale	Breathe		Blow out or expel breath.
	3	Hiccup	Breathe		Involuntarily spasm  the diaphragm and respiratory organs, with a sudden closure of the glottis and a characteristic sound like that of a cough.
	3	Hold-breath	Breathe		Interrupt normal breathing by ceasing to inhale or exhale.
	3	Inhale	Breathe		Draw in with the breath through the nose or mouth.
	3	Sneeze	Breathe		Suddenly and violently expel breath through the nose and mouth.
	3	Sniff	Breathe		Draw in air audibly through the nose to detect a smell, to stop it from running, or to express contempt.
	2	Move-body	Move		Move entire body.
	3	Bend	Move-body		Move body in a bowed or curved manner.
	3	Dance	Move-body		Perform a purposefully selected sequences of human movement often with aesthetic or symbolic value. Move rhythmically to music, typically following a set sequence of steps.
	3	Fall-down	Move-body		Lose balance and collapse.
	3	Flex	Move-body		Cause a muscle to stand out by contracting or tensing it. Bend a limb or joint.
	3	Jerk	Move-body		Make a quick, sharp, sudden movement.
	3	Lie-down	Move-body		Move to a horizontal or resting position.
	3	Recover-balance	Move-body		Return to a stable, upright body position.
	3	Shudder	Move-body		Tremble convulsively, sometimes as a result of fear or revulsion.
	3	Sit-down	Move-body		Move from a standing to a sitting position.
	3	Sit-up	Move-body		Move from lying down to a sitting position.
	3	Stand-up	Move-body		Move from a sitting to a standing position.
	3	Stretch	Move-body		Straighten or extend body or a part of body to its full length, typically so as to tighten muscles or in order to reach something.
	3	Stumble	Move-body		Trip or momentarily lose balance and almost fall.
	3	Turn	Move-body		Change or cause to change direction.
	2	Move-body-part	Move		Move one part of a body.
	3	Move-eyes	Move-body-part		Move eyes.
	4	Blink	Move-eyes		Shut and open the eyes quickly.
	4	Close-eyes	Move-eyes		Lower and keep eyelids in a closed position.
	4	Fixate	Move-eyes		Direct eyes to a specific point or target.
	4	Inhibit-blinks	Move-eyes		Purposely prevent blinking.
	4	Open-eyes	Move-eyes		Raise eyelids to expose pupil.
	4	Saccade	Move-eyes		Move eyes rapidly between fixation points.
	4	Squint	Move-eyes		Squeeze one or both eyes partly closed in an attempt to see more clearly or as a reaction to strong light.
	4	Stare	Move-eyes		Look fixedly or vacantly at someone or something with eyes wide open.
	3	Move-face	Move-body-part		Move the face or jaw.
	4	Bite	Move-face		Seize with teeth or jaws an object or organism so as to grip or break the surface covering.
	4	Burp	Move-face		Noisily release air from the stomach through the mouth. Belch.
	4	Chew	Move-face		Repeatedly grinding, tearing, and or crushing with teeth or jaws.
	4	Gurgle	Move-face		Make a hollow bubbling sound like that made by water running out of a bottle.
	4	Swallow	Move-face		Cause or allow something, especially food or drink to pass down the throat.
	5	Gulp	Swallow		Swallow quickly or in large mouthfuls, often audibly, sometimes to indicate apprehension.
	4	Yawn	Move-face		Take a deep involuntary  inhalation with the mouth open often as a sign of drowsiness or boredom.
	3	Move-head	Move-body-part		Move head.
	4	Lift-head	Move-head		Tilt head back lifting chin.
	4	Lower-head	Move-head		Move head downward so that eyes are in a lower position.
	4	Turn-head	Move-head		Rotate head horizontally to look in a different direction.
	3	Move-lower-extremity	Move-body-part		Move leg and/or foot.
	4	Curl-toes	Move-lower-extremity		Bend toes sometimes to grip.
	4	Hop	Move-lower-extremity		Jump on one foot.
	4	Jog	Move-lower-extremity		Run at a trot to exercise.
	4	Jump	Move-lower-extremity		Move off the ground or other surface through sudden muscular effort in the legs.
	4	Kick	Move-lower-extremity		Strike out or flail with the foot or feet.  Strike using the leg, in unison usually with an area of the knee or lower using the foot.
	4	Pedal	Move-lower-extremity		Move by working the pedals of a bicycle or other machine.
	4	Press-foot	Move-lower-extremity		Move by pressing foot.
	4	Run	Move-lower-extremity		Travel on foot at a fast pace.
	4	Step	Move-lower-extremity		Put one leg in front of the other and shift weight onto it.
	5	Heel-strike	Step		Strike the ground with the heel during a step.
	5	Toe-off	Step		Push with toe as part of a stride.
	4	Trot	Move-lower-extremity		Run at a moderate pace, typically with short steps.
	4	Walk	Move-lower-extremity		Move at a regular pace by lifting and setting down each foot in turn never having both feet off the ground at once.
	3	Move-torso	Move-body-part		Move body trunk.
	3	Move-upper-extremity	Move-body-part		Move arm, shoulder, and/or hand.
	4	Drop	Move-upper-extremity		Let or cause to fall vertically.
	4	Grab	Move-upper-extremity		Seize suddenly or quickly. Snatch or clutch.
	4	Grasp	Move-upper-extremity		Seize and hold firmly.
	4	Hold-down	Move-upper-extremity		Prevent someone or something from moving by holding them firmly.
	4	Lift	Move-upper-extremity		Raising something to higher position.
	4	Make-fist	Move-upper-extremity		Close hand tightly with the fingers bent against the palm.
	4	Point	Move-upper-extremity		Draw attention to something by extending a finger or arm.
	4	Press	Move-upper-extremity	relatedTag=Push	Apply pressure to something to flatten, shape, smooth or depress it. This action tag should be used to indicate key presses and mouse clicks.
	4	Push	Move-upper-extremity	relatedTag=Press	Apply force in order to move something away. Use Press to indicate a key press or mouse click.
	4	Reach	Move-upper-extremity		Stretch out your arm in order to get or touch something.
	4	Release	Move-upper-extremity		Make available or set free.
	4	Retract	Move-upper-extremity		Draw or pull back.
	4	Scratch	Move-upper-extremity		Drag claws or nails over a surface or on skin.
	4	Snap-fingers	Move-upper-extremity		Make a noise by pushing second finger hard against thumb and then releasing it suddenly so that it hits the base of the thumb.
	4	Touch	Move-upper-extremity		Come into or be in contact with.
	1	Perceive	Action		Produce an internal, conscious image through stimulating a sensory system.
	2	Hear	Perceive		Give attention to a sound.
	2	See	Perceive		Direct gaze toward someone or something or in a specified direction.
	2	Sense-by-touch	Perceive		Sense something through receptors in the skin.
	2	Smell	Perceive		Inhale in order to ascertain an odor or scent.
	2	Taste	Perceive		Sense a flavor in the mouth and throat on contact with a substance.
	1	Perform	Action		Carry out or accomplish an action, task, or function.
	2	Close	Perform		Act as to blocked against entry or passage.
	2	Collide-with	Perform		Hit with force when moving.
	2	Halt	Perform		Bring or come to an abrupt stop.
	2	Modify	Perform		Change something.
	2	Open	Perform		Widen an aperture, door, or gap, especially one allowing access to something.
	2	Operate	Perform		Control the functioning of a machine, process, or system.
	2	Play	Perform		Engage in activity for enjoyment and recreation rather than a serious or practical purpose.
	2	Read	Perform		Interpret something that is written or printed.
	2	Repeat	Perform		Make do or perform again.
	2	Rest	Perform		Be inactive in order to regain strength, health, or energy.
	2	Write	Perform		Communicate or express by means of letters or symbols written or imprinted on a surface.
	1	Think	Action		Direct the mind toward someone or something or use the mind actively to form connected ideas.
	2	Allow	Think		Allow access to something such as allowing a car to pass.
	2	Attend-to	Think		Focus mental experience on specific targets.
	2	Count	Think		Tally items either silently or aloud.
	2	Deny	Think		Refuse to give or grant something requested or desired by someone.
	2	Detect	Think		Discover or identify the presence or existence of something.
	2	Discriminate	Think		Recognize a distinction.
	2	Encode	Think		Convert information or an instruction into a particular form.
	2	Evade	Think		Escape or avoid, especially by cleverness or trickery.
	2	Generate	Think		Cause something, especially an emotion or situation to arise or come about.
	2	Identify	Think		Establish or indicate who or what someone or something is.
	2	Imagine	Think		Form a mental image or concept of something.
	2	Judge	Think		Evaluate evidence to make a decision or form a belief.
	2	Learn	Think		Adaptively change behavior as the result of experience.
	2	Memorize	Think		Adaptively change behavior as the result of experience.
	2	Plan	Think		Think about the activities required to achieve a desired goal.
	2	Predict	Think		Say or estimate that something will happen or will be a consequence of something without having exact informaton.
	2	Recall	Think		Remember information by mental effort.
	2	Recognize	Think		Identify someone or something from having encountered them before.
	2	Respond	Think		React to something such as a treatment or a stimulus.
	2	Switch-attention	Think		Transfer attention from one focus to another.
	2	Track	Think		Follow a person, animal, or object through space or time.
	0	Item	HedTag	extensionAllowed	An independently existing thing (living or nonliving).
	1	Biological-item	Item		An entity that is biological, that is related to living organisms.
	2	Anatomical-item	Biological-item		A biological structure, system, fluid or other substance excluding single molecular entities.
	3	Body-part	Anatomical-item		Any part of an organism.
	4	Head	Body-part		The upper part of the human body, or the front or upper part of the body of an animal, typically separated from the rest of the body by a neck, and containing the brain, mouth, and sense organs.
	5	Ear	Head		A sense organ needed for the detection of sound and for establishing balance.
	5	Face	Head		The anterior portion of the head extending from the forehead to the chin and ear to ear. The facial structures contain the eyes, nose and mouth, cheeks and jaws.
	6	Cheek	Face		The fleshy part of the face bounded by the eyes, nose, ear, and jaw line.
	6	Chin	Face		The part of the face below the lower lip and including the protruding part of the lower jaw.
	6	Eye	Face		The organ of sight or vision.
	6	Eyebrow	Face		The arched strip of hair on the bony ridge above each eye socket.
	6	Forehead	Face		The part of the face between the eyebrows and the normal hairline.
	6	Lip	Face		Fleshy fold which surrounds the opening of the mouth.
	6	Mouth	Face		The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening.
	6	Nose	Face		A structure of special sense serving as an organ of the sense of smell and as an entrance to the respiratory tract.
	6	Teeth	Face		The hard bonelike structures in the jaws. A collection of teeth arranged in some pattern in the mouth or other part of the body.
	5	Hair	Head		The filamentous outgrowth of the epidermis.
	4	Lower-extremity	Body-part		Refers to the whole inferior limb (leg and/or foot).
	5	Ankle	Lower-extremity		A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus.
	5	Calf	Lower-extremity		The fleshy part at the back of the leg below the knee.
	5	Foot	Lower-extremity		The structure found below the ankle joint required for locomotion.
	6	Big-toe	Foot		The largest toe on the inner side of the foot.
	6	Heel	Foot		The back of the foot below the ankle.
	6	Instep	Foot		The part of the foot between the ball and the heel on the inner side.
	6	Little-toe	Foot		The smallest toe located on the outer side of the foot.
	6	Toes	Foot		The terminal digits of the foot.
	5	Knee	Lower-extremity		A joint connecting the lower part of the femur with the upper part of the tibia.
	5	Shin	Lower-extremity		Front part of the leg below the knee.
	5	Thigh	Lower-extremity		Upper part of the leg between hip and knee.
	4	Torso	Body-part		The body excluding the head and neck and limbs.
	5	Buttocks	Torso		The round fleshy parts that form the lower rear area of a human trunk.
	5	Gentalia	Torso		The external organs of reproduction.
	5	Hip	Torso		The lateral prominence of the pelvis from the waist to the thigh.
	5	Torso-back	Torso		The rear surface of the human body from the shoulders to the hips.
	5	Torso-chest	Torso		The anterior side of the thorax from the neck to the abdomen.
	5	Waist	Torso		The abdominal circumference at the navel.
	4	Upper-extremity	Body-part		Refers to the whole superior limb (shoulder, arm, elbow, wrist, hand).
	5	Elbow	Upper-extremity		A type of hinge joint located between the forearm and upper arm.
	5	Forearm	Upper-extremity		Lower part of the arm between the elbow and wrist.
	5	Hand	Upper-extremity		The distal portion of the upper extremity. It consists of the carpus, metacarpus, and digits.
	6	Finger	Hand		Any of the digits of the hand.
	7	Index-finger	Finger		The second finger from the radial side of the hand, next to the thumb.
	7	Little-finger	Finger		The fifth and smallest finger from the radial side of the hand.
	7	Middle-finger	Finger		The middle or third finger from the radial side of the hand.
	7	Ring-finger	Finger		The fourth finger from the radial side of the hand.
	7	Thumb	Finger		The thick and short hand digit which is next to the index finger in humans.
	6	Knuckles	Hand		A part of a finger at a joint where the bone is near the surface, especially where the finger joins the hand.
	6	Palm	Hand		The part of the inner surface of the hand that extends from the wrist to the bases of the fingers.
	5	Shoulder	Upper-extremity		Joint attaching upper arm to trunk.
	5	Upper-arm	Upper-extremity		Portion of arm between shoulder and elbow.
	5	Wrist	Upper-extremity		A joint between the distal end of the radius and the proximal row of carpal bones.
	2	Organism	Biological-item		A living entity, more specifically a biological entity that consists of one or more cells and is capable of genomic replication (independently or not).
	3	Animal	Organism		A living organism that has membranous cell walls, requires oxygen and organic foods, and is capable of voluntary movement.
	3	Human	Organism		The bipedal primate mammal Homo sapiens.
	3	Plant	Organism		Any living organism that typically synthesizes its food from inorganic substances and possesses cellulose cell walls.
	1	Language-item	Item	suggestedTag=Sensory-presentation	An entity related to a systematic means of communicating by the use of sounds, symbols, or gestures.
	2	Character	Language-item		A mark or symbol used in writing.
	2	Clause	Language-item		A  unit of grammatical organization next below the sentence in rank, usually consisting of a subject and predicate.
	2	Glyph	Language-item		A hieroglyphic character, symbol, or pictograph.
	2	Nonword	Language-item		A group of letters or speech sounds that looks or sounds like a word but that is not accepted as such by native speakers.
	2	Paragraph	Language-item		A distinct section of a piece of writing, usually dealing with a single theme.
	2	Phoneme	Language-item		A speech sound that is distinguished by the speakers of a particular language.
	2	Phrase	Language-item		A phrase is a group of words functioning as a single unit in the syntax of a sentence.
	2	Sentence	Language-item		A set of words that is complete in itself, conveying a statement, question, exclamation, or command and typically containing an explicit or implied subject and a predicate containing a finite verb.
	2	Syllable	Language-item		A unit of spoken language larger than a phoneme.
	2	Textblock	Language-item		A block of text.
	2	Word	Language-item		A word is the smallest free form (an item that may be expressed in isolation with semantic or pragmatic content) in a language.
	1	Object	Item	suggestedTag=Sensory-presentation	Something perceptible by one or more of the senses, especially by vision or touch. A material thing.
	2	Geometric-object	Object		An object or a representation that has structure and topology in space.
	3	2D-shape	Geometric-object		A planar, two-dimensional shape.
	4	Clockface	2D-shape		The dial face of a clock. A location identifier based on clockface numbering or anatomic subregion.
	4	Cross	2D-shape		A figure or mark formed by two intersecting lines crossing at their midpoints.
	4	Dash	2D-shape		A horizontal stroke in writing or printing to mark a pause or break in sense or to represent omitted letters or words.
	4	Ellipse	2D-shape		A closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it, especially a plane not parallel to the base.
	5	Circle	Ellipse		A ring-shaped structure with every point equidistant from the center.
	4	Rectangle	2D-shape		A parallelogram with four right angles.
	5	Square	Rectangle		A square is a special rectangle with four equal sides.
	4	Single-point	2D-shape		A point is a geometric entity that is located in a zero-dimensional spatial region and whose position is defined by its coordinates in some coordinate system.
	4	Star	2D-shape		A conventional or stylized representation of a star, typically one having five or more points.
	4	Triangle	2D-shape		A three-sided polygon.
	3	3D-shape	Geometric-object		A geometric three-dimensional shape.
	4	Box	3D-shape		A square or rectangular vessel, usually made of cardboard or plastic.
	5	Cube	Box		A solid or semi-solid in the shape of a three dimensional square.
	4	Cone	3D-shape		A shape whose base is a circle and whose sides taper up to a point.
	4	Cylinder	3D-shape		A surface formed by circles of a given radius that are contained in a plane perpendicular to a given axis, whose centers align on the axis.
	4	Ellipsoid	3D-shape		A closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it, especially a plane not parallel to the base.
	5	Sphere	Ellipsoid		A solid or hollow three-dimensional object bounded by a closed surface such that every point on the surface is equidistant from the center.
	4	Pyramid	3D-shape		A polyhedron of which one face is a polygon of any number of sides, and the other faces are triangles with a common vertex.
	3	Pattern	Geometric-object		An arrangement of objects, facts, behaviors, or other things which have scientific, mathematical, geometric, statistical, or other meaning.
	4	Dots	Pattern		A small round mark or spot.
	4	LED-pattern	Pattern		A pattern created by lighting selected members of a fixed light emitting diode array.
	2	Ingestible-object	Object		Something that can be taken into the body by the mouth for digestion or absorption.
	2	Man-made-object	Object		Something constructed by human means.
	3	Building	Man-made-object		A structure that has a roof and walls and stands more or less permanently in one place.
	4	Attic	Building		A room or a space immediately below the roof of a building.
	4	Basement	Building		The part of a building that is wholly or partly below ground level.
	4	Entrance	Building		The means or place of entry.
	4	Roof	Building		A roof is the covering on the uppermost part of a building which provides protection from animals and weather, notably rain, but also heat, wind and sunlight.
	4	Room	Building		An area within a building enclosed by walls and floor and ceiling.
	3	Clothing	Man-made-object		A covering designed to be worn on the body.
	3	Device	Man-made-object		An object contrived for a specific purpose.
	4	Assistive-device	Device		A device that help an individual accomplish a task.
	5	Glasses	Assistive-device		Frames with lenses worn in front of the eye for vision correction, eye protection, or protection from UV rays.
	5	Writing-device	Assistive-device		A device used for writing.
	6	Pen	Writing-device		A common writing instrument used to apply ink to a surface for writing or drawing.
	6	Pencil	Writing-device		An implement for writing or drawing that is constructed of a narrow solid pigment core in a protective casing that prevents the core from being broken or marking the hand.
	4	Computing-device	Device		An electronic device which take inputs and processes results from the inputs.
	5	Cellphone	Computing-device		A telephone with access to a cellular radio system so it can be used over a wide area, without a physical connection to a network.
	5	Desktop-computer	Computing-device		A computer suitable for use at an ordinary desk.
	5	Laptop-computer	Computing-device		A computer that is portable and suitable for use while traveling.
	5	Tablet-computer	Computing-device		A small portable computer that accepts input directly on to its screen rather than via a keyboard or mouse.
	4	Engine	Device		A motor is a machine designed to convert one or more forms of energy into mechanical energy.
	4	IO-device	Device		Hardware used by a human (or other system) to communicate with a computer.
	5	Input-device	IO-device		A piece of equipment used to provide data and control signals to an information processing system such as a computer or information appliance.
	6	Computer-mouse	Input-device		A hand-held pointing device that detects two-dimensional motion relative to a surface.
	7	Mouse-button	Computer-mouse		An electric switch on a computer mouse which can be pressed or clicked to select or interact with an element of a graphical user interface.
	7	Scroll-wheel	Computer-mouse		A scroll wheel or mouse wheel is a wheel used for scrolling made of hard plastic with a rubbery surface usually located between the left and right mouse buttons and is positioned perpendicular to the mouse surface.
	6	Joystick	Input-device		A control device that uses a movable handle to create two-axis input for a computer device.
	6	Keyboard	Input-device		A device consisting of mechanical keys that are pressed to create input to a computer.
	7	Keyboard-key	Keyboard		A button on a keyboard usually representing letters, numbers, functions, or symbols.
	8	Keyboard-key-#	Keyboard-key	takesValue	Value of a keyboard key.
	6	Keypad	Input-device		A device consisting of keys, usually in a block arrangement, that provides limited input to a system.
	7	Keypad-key	Keypad		A key on a separate section of a computer keyboard that groups together numeric keys and those for mathematical or other special functions in an arrangement like that of a calculator.
	8	Keypad-key-#	Keypad-key	takesValue	Value of keypad key.
	6	Microphone	Input-device		A device designed to convert sound to an electrical signal.
	6	Push-button	Input-device		A switch designed to be operated by pressing a button.
	5	Output-device	IO-device		Any piece of computer hardware equipment which converts information into human understandable form.
	6	Auditory-device	Output-device		A device designed to produce sound.
	7	Headphones	Auditory-device		An instrument that consists of a pair of small loudspeakers, or less commonly a single speaker, held close to ears and connected to a signal source such as an audio amplifier, radio, CD player or portable media player.
	7	Loudspeaker	Auditory-device		A device designed to convert electrical signals to sounds that can be heard.
	6	Display-device	Output-device		An output device for presentation of information in visual or tactile form the latter used for example in tactile electronic displays for blind people.
	7	Computer-screen	Display-device		An electronic device designed as a display or a physical device designed to be a protective meshwork.
	8	Screen-window	Computer-screen		A part of a computer screen that contains a display different from the rest of the screen. A window is a graphical control element consisting of a visual area containing some of the graphical user interface of the program it belongs to and is framed by a window decoration.
	7	Head-mounted-display	Display-device		An instrument that functions as a display device, worn on the head or as part of a helmet, that has a small display optic in front of one (monocular HMD) or each eye (binocular HMD).
	7	LED-display	Display-device		A LED display is a flat panel display that uses an array of light-emitting diodes as pixels for a video display.
	5	Recording-device	IO-device		A device that copies information in a signal into a persistent information bearer.
	6	EEG-recorder	Recording-device		A device for recording electric currents in the brain using electrodes applied to the scalp, to the surface of the brain, or placed within the substance of the brain.
	6	File-storage	Recording-device		A device for recording digital information to a permanent media.
	6	MEG-recorder	Recording-device		A device for measuring the magnetic fields produced by electrical activity in the brain, usually conducted externally.
	6	Motion-capture	Recording-device		A device for recording the movement of objects or people.
	6	Tape-recorder	Recording-device		A device for recording and reproduction usually using magnetic tape for storage that can be saved and played back.
	5	Touchscreen	IO-device		A control component that operates an electronic device by pressing the display on the screen.
	4	Machine	Device		A human-made device that uses power to apply forces and control movement to perform an action.
	4	Measurement-device	Device		A device in which a measure function inheres.
	5	Clock	Measurement-device		A device designed to indicate the time of day or to measure the time duration of an event or action.
	6	Clock-face	Clock		A location identifier based on clockface numbering or anatomic subregion.
	4	Robot	Device		A mechanical device that sometimes resembles a living animal and is capable of performing a variety of often complex human tasks on command or by being programmed in advance.
	4	Tool	Device		A component that is not part of a device but is designed to support its assemby or operation.
	3	Document	Man-made-object		A physical object, or electronic counterpart, that is characterized by containing writing which is meant to be human-readable.
	4	Book	Document		A volume made up of pages fastened along one edge and enclosed between protective covers.
	4	Letter	Document		A written message addressed to a person or organization.
	4	Note	Document		A brief written record.
	4	Notebook	Document		A book for notes or memoranda.
	3	Furnishing	Man-made-object		Furniture, fittings, and other decorative accessories, such as curtains and carpets, for a house or room.
	3	Manufactured-material	Man-made-object		Substances created or extracted from raw materials.
	4	Ceramic	Manufactured-material		A hard, brittle, heat-resistant and corrosion-resistant material made by shaping and then firing a nonmetallic mineral, such as clay, at a high temperature.
	4	Glass	Manufactured-material		A brittle transparent solid with irregular atomic structure.
	4	Paper	Manufactured-material		A thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water.
	4	Plastic	Manufactured-material		Various high-molecular-weight thermoplastic or thermosetting polymers that are capable of being molded, extruded, drawn, or otherwise shaped and then hardened into a form.
	4	Steel	Manufactured-material		An alloy made up of iron with typically a few tenths of a percent of carbon to improve its strength and fracture resistance compared to iron.
	3	Media	Man-made-object		Media are audo/visual/audiovisual modes of communicating information for mass consumption.
	4	Media-clip	Media		A short segment of media.
	5	Audio-clip	Media-clip		A short segment of audio.
	5	Audiovisual-clip	Media-clip		A short media segment containing both audio and video.
	5	Video-clip	Media-clip		A short segment of video.
	4	Visualization	Media		An planned process that creates images, diagrams or animations from the input data.
	5	Animation	Visualization		A form of graphical illustration that changes with time to give a sense of motion or represent dynamic changes in the portrayal.
	5	Art-installation	Visualization		A large-scale, mixed-media constructions, often designed for a specific place or for a temporary period of time.
	5	Braille	Visualization		A display using a system of raised dots that can be read with the fingers by people who are blind.
	5	Image	Visualization		Any record of an imaging event whether physical or electronic.
	6	Cartoon	Image		A type of illustration, sometimes animated, typically in a non-realistic or semi-realistic style. The specific meaning has evolved over time, but the modern usage usually refers to either an image or series of images intended for satire, caricature, or humor. A motion picture that relies on a sequence of illustrations for its animation.
	6	Drawing	Image		A representation of an object or outlining a figure, plan, or sketch by means of lines.
	6	Icon	Image		A sign (such as a word or graphic symbol) whose form suggests its meaning.
	6	Painting	Image		A work produced through the art of painting.
	6	Photograph	Image		An image recorded by a camera.
	5	Movie	Visualization		A sequence of images displayed in succession giving the illusion of continuous movement.
	5	Outline-visualization	Visualization		A visualization consisting of a line or set of lines enclosing or indicating the shape of an object in a sketch or diagram.
	5	Point-light-visualization	Visualization		A display in which action is depicted using a few points of light, often generated from discrete sensors in motion capture.
	5	Sculpture	Visualization		A two- or three-dimensional representative or abstract forms, especially by carving stone or wood or by casting metal or plaster.
	5	Stick-figure-visualization	Visualization		A drawing showing the head of a human being or animal as a circle and all other parts as straight lines.
	3	Navigational-object	Man-made-object		An object whose purpose is to assist directed movement from one location to another.
